,总量,,,中餐厅,,,外国餐厅,,,快餐厅,,城市,甜品饮品店
乌海市,2394,,乌海市,1797,,定西市,25,,鹰潭市,386,,陵水黎族自治县,197
七台河市,2265,,喀什地区,1791,,儋州市,24,,临沧市,371,,阿克苏地区,186
中卫市,2237,,固原市,1767,,石嘴山市,23,,攀枝花市,361,,金昌市,184
固原市,2226,,甘孜藏族自治州,1673,,中卫市,22,,仙桃市,360,,石嘴山市,183
石河子市,2117,,海西蒙古族藏族自治州,1632,,塔城地区,22,,海西蒙古族藏族自治州,309,,辽源市,180
塔城地区,2105,,七台河市,1602,,张掖市,21,,哈密市,292,,阳泉市,179
甘孜藏族自治州,2063,,石河子市,1519,,陵水黎族自治县,20,,潜江市,285,,临夏回族自治州,177
海西蒙古族藏族自治州,2060,,塔城地区,1459,,天门市,19,,固原市,283,,甘孜藏族自治州,175
潜江市,1847,,潜江市,1388,,文昌市,19,,临夏回族自治州,280,,石河子市,172
铜川市,1797,,迪庆藏族自治州,1374,,临夏回族自治州,18,,儋州市,277,,塔城地区,165
迪庆藏族自治州,1657,,铜川市,1274,,固原市,18,,中卫市,268,,乌海市,163
克拉玛依市,1545,,天门市,1131,,迪庆藏族自治州,17,,阿坝藏族羌族自治州,260,,固原市,158
天门市,1506,,阿拉善盟,1092,,陇南市,16,,海东市,260,,天门市,150
儋州市,1484,,嘉峪关市,1066,,万宁市,15,,博尔塔拉蒙古自治州,248,,潜江市,146
嘉峪关市,1462,,金昌市,1039,,阿坝藏族羌族自治州,15,,嘉峪关市,246,,中卫市,146
琼海市,1450,,克拉玛依市,1004,,铜川市,15,,天门市,206,,东方市,143
金昌市,1430,,儋州市,931,,武威市,15,,甘孜藏族自治州,204,,嘉峪关市,140
阿拉善盟,1322,,海东市,916,,东方市,14,,吐鲁番市,196,,临高县,126
海东市,1279,,琼海市,876,,金昌市,14,,金昌市,193,,七台河市,119
万宁市,1189,,甘南藏族自治州,870,,海西蒙古族藏族自治州,14,,和田地区,193,,定安县,116
哈密市,1146,,怒江傈僳族自治州,789,,哈密市,14,,琼海市,188,,铜川市,110
文昌市,1114,,哈密市,788,,商洛市,12,,大兴安岭地区,186,,迪庆藏族自治州,109
甘南藏族自治州,1097,,万宁市,769,,甘孜藏族自治州,11,,阿拉善盟,165,,海西蒙古族藏族自治州,105
博尔塔拉蒙古自治州,1094,,博尔塔拉蒙古自治州,750,,阿拉尔市,11,,海南藏族自治州,161,,乐东黎族自治县,102
大兴安岭地区,1040,,大兴安岭地区,721,,嘉峪关市,10,,迪庆藏族自治州,157,,甘南藏族自治州,102
澄迈县,1037,,海南藏族自治州,721,,阿拉善盟,9,,万宁市,145,,克拉玛依市,102
怒江傈僳族自治州,1001,,文昌市,683,,澄迈县,9,,文昌市,135,,海东市,97
陵水黎族自治县,993,,吐鲁番市,665,,博尔塔拉蒙古自治州,9,,东方市,132,,怒江傈僳族自治州,94
海南藏族自治州,925,,陵水黎族自治县,652,,五指山市,8,,澄迈县,131,,屯昌县,91
吐鲁番市,889,,澄迈县,577,,甘南藏族自治州,8,,陵水黎族自治县,124,,博尔塔拉蒙古自治州,87
东方市,815,,东方市,526,,和田地区,7,,克孜勒苏柯尔克孜自治州,121,,昌江黎族自治县,78
和田地区,732,,和田地区,476,,保亭黎族苗族自治县,6,,甘南藏族自治州,117,,大兴安岭地区,64
乐东黎族自治县,600,,海北藏族自治州,452,,海东市,6,,怒江傈僳族自治州,115,,琼中黎族苗族自治县,58
林芝市,594,,乐东黎族自治县,418,,海南藏族自治州,6,,阿拉尔市,94,,日喀则市,57
海北藏族自治州,574,,林芝市,410,,屯昌县,5,,五家渠市,92,,阿拉善盟,56
日喀则市,529,,五家渠市,408,,昌江黎族自治县,5,,海北藏族自治州,81,,和田地区,56
五家渠市,529,,日喀则市,398,,吐鲁番市,5,,阿勒泰地区,81,,保亭黎族苗族自治县,53
临高县,442,,黄南藏族自治州,317,,临高县,4,,乐东黎族自治县,77,,哈密市,52
屯昌县,415,,昌都市,281,,山南市,4,,日喀则市,71,,五指山市,47
黄南藏族自治州,406,,屯昌县,270,,定安县,3,,昌江黎族自治县,70,,山南市,47
定安县,398,,神农架林区,261,,乐东黎族自治县,3,,临高县,54,,白沙黎族自治县,43
昌江黎族自治县,394,,临高县,258,,怒江傈僳族自治州,3,,黄南藏族自治州,50,,海北藏族自治州,39
阿拉尔市,360,,玉树藏族自治州,242,,日喀则市,3,,五指山市,49,,黄南藏族自治州,37
昌都市,341,,昌江黎族自治县,241,,阿勒泰地区,3,,屯昌县,49,,海南藏族自治州,37
保亭黎族苗族自治县,333,,定安县,235,,五家渠市,3,,林芝市,48,,林芝市,30
克孜勒苏柯尔克孜自治州,322,,保亭黎族苗族自治县,227,,昌都市,2,,保亭黎族苗族自治县,47,,阿拉尔市,28
五指山市,317,,阿拉尔市,227,,阿里地区,2,,山南市,45,,阿里地区,26
阿勒泰地区,309,,五指山市,213,,海北藏族自治州,2,,定安县,44,,五家渠市,26
山南市,303,,山南市,207,,黄南藏族自治州,2,,琼中黎族苗族自治县,40,,吐鲁番市,23
神农架林区,301,,阿勒泰地区,203,,玉树藏族自治州,2,,昌都市,36,,昌都市,22
玉树藏族自治州,296,,琼中黎族苗族自治县,185,,克孜勒苏柯尔克孜自治州,2,,图木舒克市,36,,阿勒泰地区,22
琼中黎族苗族自治县,284,,克孜勒苏柯尔克孜自治州,181,,琼中黎族苗族自治县,1,,玉树藏族自治州,32,,玉树藏族自治州,20
白沙黎族自治县,211,,那曲市,158,,那曲市,1,,果洛藏族自治州,29,,那曲市,18
那曲市,204,,白沙黎族自治县,146,,神农架林区,0,,那曲市,27,,克孜勒苏柯尔克孜自治州,18
果洛藏族自治州,151,,果洛藏族自治州,114,,三沙市,0,,神农架林区,23,,神农架林区,17
阿里地区,145,,阿里地区,95,,白沙黎族自治县,0,,白沙黎族自治县,22,,果洛藏族自治州,8
图木舒克市,128,,图木舒克市,87,,果洛藏族自治州,0,,阿里地区,22,,图木舒克市,5
可克达拉市,38,,可克达拉市,31,,图木舒克市,0,,双河市,7,,可克达拉市,4
铁门关市,26,,铁门关市,20,,北屯市,0,,可克达拉市,3,,铁门关市,3
双河市,24,,双河市,17,,可克达拉市,0,,铁门关市,3,,昆玉市,1
昆玉市,13,,昆玉市,10,,昆玉市,0,,昆玉市,2,,三沙市,0
北屯市,7,,北屯市,7,,双河市,0,,三沙市,0,,北屯市,0
三沙市,0,,三沙市,0,,铁门关市,0,,北屯市,0,,双河市,0
,4519123,,,,,,95515,,,,,,
